sample_title	Amines	Amino acids	Bacterial cells	Carbohydrates	DHAA-C	DHAA-N	DOC	Sugar acids	TDN
2017-SV3-100	49.63	134.5	419110	330.25	0.47	0.18	59.33	29.21	13.64
2017-SV3-25	33.5	161.74	1051958	233.73	0.57	0.21	62.84	5.87	9.21
2017-SV4-10	35.58	247.67	1240282	322.41	0.91	0.34	66.62	18.54	8.05
2017-SV4-100	11.13	98.31	266700	211.82	0.32	0.12	56.67	0	15.55
2017-SV4-20	30.09	177.62	1006977	317.55	0.63	0.23	65.19	11.13	10.22
2018-EG1-100	20.02	100.88	101290	202.7	0.37	0.15	64.57	5	12.11
2018-EG1-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-EG1-5	49.96	301.5	425139	1641.26	1.13	0.47	103.99	13.67	3.27
2018-EG4-100	21.64	116.47	155524	307.36	0.41	0.18	64.04	5	13.15
2018-EG4-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-EG4-5	38.99	438.39	290962	1257.91	1.65	0.66	96.92	8	3.79
2018-HG1-10	39.7	632.53	2100383	1090.63	2.53	0.99	73.92	43.31	4.86
2018-HG1-100	28.13	315.82	1913650	410.56	1.24	0.48	68.83	15	16.26
2018-HG1-40	38.2	508.69	1642953	914.69	2.01	0.78	72.76	56.88	7.03
2018-HG4-10	44.27	449.38	1121355	814.65	1.72	0.71	79.7	32.95	4.75
2018-HG4-100	20.52	225.66	937436	390.73	0.84	0.35	62.03	14	15.75
2018-HG4-35	47.3	1022.23	1241998	1998.86	4.19	1.62	76.94	81.25	4.05
2018-N3-10	50.34	358.01	719815	840.09	1.34	0.56	84.43	31.62	3.84
2018-N3-100	26.82	159.65	299328	384.02	0.57	0.25	69.94	0	11.45
2018-N3-20	44.54	252.97	425463	539.42	0.93	0.4	75.27	14.09	4.96
2018-N4-10	38.47	322.95	852117	671.31	1.28	0.64	69.57	21.55	3.3
2018-N4-100	7.46	163.28	570313	343.4	0.61	0.25	63.3	0	15.53
2018-N4-43	27.69	319.12	734022	812.9	1.22	0.51	72.65	32.34	11.36
2018-N5-10	45.82	345.31	673551	670.04	1.31	0.55	73.01	26.75	3.29
2018-N5-100	21.8	167.11	716894	270.63	0.65	0.34	72.47	7	12.88
2018-N5-20	37.26	307.66	891926	571.07	1.23	0.63	68.24	23.38	5.72
2018-S3-10	45.74	515.7	1046328	860.66	2.01	0.81	94.34	38.63	4.62
2018-S3-100	12.57	222.1	1074209	274.46	0.85	0.34	66.96	0	16.27
2018-S3-30	34.65	585.4	689172	1123.03	2.33	0.93	85.71	50.84	6.28
2018-SV2-10	32.28	651.53	1138590	740.84	2.61	1.01	80.24	25.4	3.6
2018-SV2-100	18.79	155.18	620981	271.12	0.57	0.24	65.19	0	13.93
2018-SV2-40	27.96	392.23	1245131	637.99	1.54	0.61	71.15	24.57	10.1
2018-SV4-10	35.61	591.93	1170887	1887.56	2.31	0.92	71.49	27.79	4.87
2018-SV4-100	19.6	136.67	730300	323.93	0.49	0.2	54.57	5	15.76
2018-SV4-23	34.77	690.07	1278746	1388.38	2.82	1.09	63.09	43.12	5.77
2019-0E-10	30.56	291.71	725654	241.78	1.11	0.47	89.88	22.07	8.29
2019-0E-100	17	141.02	155197	144.88	0.5	0.23	63.02	12.62	15.92
2019-0E-20	26.62	217	330407	276.14	0.78	0.33	85.21	17.58	9.85
2019-EG1-10	59.46	282.58	639467	292.48	1.05	0.42	88.76	26.32	5.56
2019-EG1-100	34.6	156.3	208797	252.72	0.54	0.23	87.5	19.27	10.63
2019-EG1-25	50.95	200.83	453417	327.32	0.72	0.29	136.93	22.03	6.15
2019-EG1-40	60.89	236.45	219137	425.6	0.76	0.31	96.28	28.73	8.07
2019-EG2-10	55.8	290.06	772817	385.94	1.08	0.45	101.86	31.57	5.68
2019-EG2-100	33.68	196.6	287380	313.16	0.69	0.28	85.09	23.44	9.48
2019-EG2-35	48.91	212.28	559450	269.72	0.77	0.33	96.21	23.52	8.14
2019-EG3-10	50.29	359.1	650907	340.82	1.37	0.55	90.52	25.8	6.75
2019-EG3-100	29	146.04	262264	250.77	0.52	0.23	78.38	18.36	14.32
2019-EG3-20	45.42	236.2	447547	251.83	0.85	0.36	90.88	22.68	8.72
2019-EG4-10	39.96	322.07	824990	480.51	1.25	0.51	79.09	46.46	5.17
2019-EG4-100	21.83	172.19	523961	198.25	0.62	0.25	67.55	15.69	15.78
2019-EG4-25	34.38	315.9	1215306	395.24	1.21	0.47	75.18	36.26	6.84
2019-EG4-35	32.56	246.24	1235273	290.42	0.92	0.36	81.6	25.58	8.22
2019-F4-10	38.41	232.03	1440807	254.87	0.89	0.36	68.01	15.06	8.55
2019-F4-100	22.64	126.13	412794	257.5	0.45	0.18	64.82	14.9	17.06
2019-F4-35	39.33	214.03	1273473	380.54	0.82	0.34	65.79	20.35	8.77
2019-HG1-10	58.82	403.95	954879	562.05	1.53	0.56	70.87	42.33	5.65
2019-HG1-100	16.23	104.77	330656	209.16	0.36	0.14	62.05	10.88	17.25
2019-HG1-20	47.47	270.99	979209	430.08	1.06	0.41	75.11	38	7.68
2019-HG2-10	56.4	426.79	1422943	284.62	1.7	0.66	71.56	13.98	7.57
2019-HG2-100	34.25	156.57	612668	265.57	0.56	0.23	71.21	17.1	14.5
2019-HG2-20	54.32	389.05	1539797	325.07	1.52	0.59	74.93	19.85	7.34
2019-HG4-10	51.12	413.1	801218	388.92	1.6	0.63	71.18	20.61	7.08
2019-HG4-100	29.91	132.59	325642	211.31	0.48	0.19	57.77	15.57	16.75
2019-HG4-14	49.04	385.62	832779	402.17	1.57	0.61	70.21	22.54	6.67
2019-HG5-100	21.62	154.66	527774	213.99	0.55	0.23	54.55	17.9	18.78
2019-HG5-20	40.98	427.91	1327705	358.33	1.7	0.65	62.94	26.02	6.87
2019-HG5V-10	41.04	397.68	1396893	309.69	1.55	0.61	71.25	34.23	5.45
2019-HG6-10	67.96	634.21	922986	476.9	2.6	1	79.76	38.55	7.62
2019-HG6-100	25.7	133.77	345939	215.28	0.46	0.19	70.04	15.05	18.74
2019-HG6-15	63.56	566.25	963329	440.53	2.31	0.88	71.09	36.45	6.66
2019-HG7-10	60.27	468.56	973800	436.54	1.87	0.72	83.54	34.8	8.55
2019-HG7-100	26.16	161.18	411497	296.84	0.59	0.26	64.23	17.4	18.02
2019-HG7-20	56.19	406.89	1103054	408.27	1.61	0.63	74.45	35.32	9.21
2019-HG8-10	40.45	369.89	917011	402.73	1.44	0.57	76.4	32.16	7.32
2019-HG8-100	22.31	192.56	303315	302.7	0.71	0.31	63.48	15.56	18.85
2019-HG8-25	40.29	378.99	878563	410.21	1.46	0.59	69.13	29.98	7.33
2019-HG9-10	40.58	565.4	1234473	345.17	2.3	0.9	92.02	30.57	8.16
2019-HG9-100	18.82	156.01	267301	218.85	0.56	0.26	70.87	12.93	17.62
2019-HG9-20	39.5	307.64	1182407	336.22	1.19	0.48	70.38	28.56	8.19
2019-N3-10	47.18	202.91	1354386	420.38	0.74	0.3	72.58	30.72	6.71
2019-N3-100	29.46	160.41	584647	225.79	0.57	0.25	64.98	16.63	18.02
2019-N3-20	44.17	254.06	1359188	346.23	0.93	0.37	71.26	27.87	6.23
2019-N3-35	34.85	187.81	1099254	270.68	0.69	0.29	72.72	19.83	11.9
2019-N4-10	52.39	183.78	1483171	548.97	0.64	0.24	77.1	39.78	9.23
2019-N4-100	21.45	192.79	425432	196.87	0.71	0.29	67.87	14.04	16.36
2019-N4-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-N5-10	40.8	295.91	1368896	410.19	1.15	0.48	88.2	29.28	8.19
2019-N5-100	23.67	197.28	578010	220.36	0.71	0.29	79.35	14.37	16.64
2019-N5-35	34.19	220.74	1264541	345.84	0.82	0.32	75.25	23.11	9.62
2019-S3-10	49.53	669.02	1098448	404.72	2.68	1.01	78.88	38.8	5.14
2019-S3-100	18.99	152.21	382723	323.92	0.52	0.2	67.34	15.49	15.32
2019-S3-20	44.79	376.83	1102626	451.99	1.45	0.55	82.29	37.66	4.19
2019-SV1-10	116.6	309.32	1856228	504.97	1.19	0.48	74.54	50.24	4.84
2019-SV1-100	64.01	209.33	774785	315.21	0.77	0.32	74.57	25.59	11.2
2019-SV1-20	79.22	282.13	1567648	382.01	1.08	0.45	73.58	40.53	6.41
2019-SV2-10	88.73	405.34	2433306	481.46	1.59	0.6	79.85	43.06	6.05
2019-SV2-100	29.64	155.26	485694	303.3	0.53	0.21	65.6	12.5	15.65
2019-SV2-20	75.59	261.84	1813215	372.45	0.99	0.38	68.47	34.6	6.04
2019-SV3-10	50.39	336.96	1496409	309.32	1.33	0.54	72.7	32.33	9.6
2019-SV3-100	24.3	128.66	401532	180.37	0.46	0.21	63.88	4.76	16.94
2019-SV3-16	55.53	245.68	1473780	311.13	0.9	0.36	76.81	18.9	8.09
2019-SV4-10	27.97	265.55	1413201	248.91	1.04	0.42	75.12	16.99	7.77
2019-SV4-100	19.47	152.68	391612	268.11	0.55	0.23	75.29	9.86	18.18
2019-SV4-20	38.45	256.78	1436006	307.8	0.99	0.4	73.99	20.44	8.27
